"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedMECOM","Q03112","Histone-lysine N-methyltransferase MECOM","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear speckles (Supported)","null","Histone modification, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Histone modification","Kustatscher et al., 2014","0.796","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedMEF2A","Q02078","Myocyte-specific enhancer factor 2A","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","5.82","SRF-TF(SRF-type transcription factor (DNA-binding and dimerisation domain),PF00319);HJURP_C(Holliday junction regulator protein family C-terminal repeat,PF12347)"
"undefinedMEF2B","Q02080","Myocyte-specific enhancer factor 2B","null","Cell Junctions (Approved), Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.202","SRF-TF(SRF-type transcription factor (DNA-binding and dimerisation domain),PF00319)"
"undefinedMEF2C","Q06413","Myocyte-specific enhancer factor 2C","Nucleus (ECO:0000250), Sarcoplasm (ECO:0000250)","Nucleoplasm (Approved), Vesicles (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","7.75","SRF-TF(SRF-type transcription factor (DNA-binding and dimerisation domain),PF00319);HJURP_C(Holliday junction regulator protein family C-terminal repeat,PF12347)"
"undefinedMEF2D","Q14814","Myocyte-specific enhancer factor 2D","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced), Vesicles (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Kustatscher et al., 2014","14.4","SRF-TF(SRF-type transcription factor (DNA-binding and dimerisation domain),PF00319);HJURP_C(Holliday junction regulator protein family C-terminal repeat,PF12347)"
"undefinedMEIS1","O00470","Homeobox protein Meis1","Nucleus (ECO:0000255)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014; Shi et al., 2021","2.52","Meis_PKNOX_N(N-terminal of Homeobox Meis and PKNOX1,PF16493);Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMEIS2","O14770","Homeobox protein Meis2","Nucleus (ECO:0000255), Perinuclear region (ECO:0000250)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.77","Meis_PKNOX_N(N-terminal of Homeobox Meis and PKNOX1,PF16493);Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMEIS3","Q99687","Homeobox protein Meis3","Nucleus (ECO:0000250)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.155","Meis_PKNOX_N(N-terminal of Homeobox Meis and PKNOX1,PF16493);Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMEIS3P1","A6NDR6","Putative homeobox protein Meis3-like 1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Meis_PKNOX_N(N-terminal of Homeobox Meis and PKNOX1,PF16493);Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMEIS3P2","A8K0S8","Putative homeobox protein Meis3-like 2","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Meis_PKNOX_N(N-terminal of Homeobox Meis and PKNOX1,PF16493);Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMEOX1","P50221","Homeobox protein MOX-1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Cytokinetic bridge (Approved), Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.106","Homeodomain(Homeodomain,PF00046)"
"undefinedMEOX2","P50222","Homeobox protein MOX-2","Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.09","Homeodomain(Homeodomain,PF00046)"
"undefinedMESP1","Q9BRJ9","Mesoderm posterior protein 1","Nucleus (ECO:0000305)","Nucleoli (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMESP2","Q0VG99","Mesoderm posterior protein 2","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMGA","Q8IWI9","MAX gene-associated protein","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","2.48","T-box(T-box,PF00907);MGA_dom(MGA, conserved domain,PF16059);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMITF","O75030","Microphthalmia-associated transcription factor","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","1.9","MITF_TFEB_C_3_N(MITF/TFEB/TFEC/TFE3 N-terminus,PF15951);HLH(Helix-loop-helix DNA-binding domain,PF00010);DUF3371(Domain of unknown function (DUF3371),PF11851)"
"undefinedMIXL1","Q9H2W2","Homeobox protein MIXL1","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedMKX","Q8IYA7","Homeobox protein Mohawk","Nucleus (ECO:0000305)","Nuclear speckles (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.016","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedMLX","Q9UH92","Max-like protein X","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported), Nuclear membrane (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","1.92","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMLXIP","Q9HAP2","MLX-interacting protein","Cytoplasm (ECO:0000269), Mitochondrion outer membrane (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.676","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMLXIPL","Q9NP71","Carbohydrate-responsive element-binding protein","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.429","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMMS19","Q96T76","MMS19 nucleotide excision repair protein homolog","Centrosome (ECO:0000269), Nucleus (ECO:0000269), Spindle (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Shi et al., 2021","27.2","MMS19_N(Dos2-interacting transcription regulator of RNA-Pol-II,PF14500)"
"undefinedMNAT1","P51948","CDK-activating kinase assembly factor MAT1","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, General TFs, DNA metabolic processes, DNA repair","General TFs","Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021","13.6","zf-C3HC4_5(Zinc finger, C3HC4 type (RING finger),PF17121);MAT1(CDK-activating kinase assembly factor MAT1,PF06391)"
"undefinedMNT","Q99583","Max-binding protein MNT","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","1.33","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMNX1","P50219","Motor neuron and pancreas homeobox protein 1","null","Cytosol (Approved), Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.206","Homeodomain(Homeodomain,PF00046)"
"undefinedMSC","O60682","Musculin","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMSGN1","A6NI15","Mesogenin-1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMSX1","P28360","Homeobox protein MSX-1","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.555","Homeodomain(Homeodomain,PF00046)"
"undefinedMSX2","P35548","Homeobox protein MSX-2","null","Nuclear speckles (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","2.14","Homeodomain(Homeodomain,PF00046)"
"undefinedMTF1","Q14872","Metal regulatory transcription factor 1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.418","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedMXD1","Q05195","Max dimerization protein 1","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMXD3","Q9BW11","Max dimerization protein 3","Nucleus (ECO:0000255)","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMXD4","Q14582","Max dimerization protein 4","Nucleus (ECO:0000255)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.032","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMXI1","P50539","Max-interacting protein 1","null","Cytosol (Approved), Nucleoli (Approved), Nucleoli rim (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYB","P10242","Transcriptional activator Myb","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.397","Myb_DNA-binding(Myb-like DNA-binding domain,PF00249);Myb_DNA-binding(Myb-like DNA-binding domain,PF00249);Myb_DNA-binding(Myb-like DNA-binding domain,PF00249);Cmyb_C(C-myb, C-terminal,PF09316)"
"undefinedMYBL1","P10243","Myb-related protein A","Nucleus (ECO:0000250)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.111","Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Cmyb_C(C-myb, C-terminal,PF09316)"
"undefinedMYBL2","P10244","Myb-related protein B","null","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","1.13","Myb_DNA-bind_6(Myb-like DNA-binding domain,PF13921);Myb_DNA-binding(Myb-like DNA-binding domain,PF00249);Cmyb_C(C-myb, C-terminal,PF09316)"
"undefinedMYC","P01106","Myc proto-oncogene protein","Nucleolus (ECO:0000269), Nucleoplasm (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","8.37","Myc_N(Myc amino-terminal region,PF01056);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYCL","P12524","Protein L-Myc","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Mitotic chromosome (Enhanced), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Myc_N(Myc amino-terminal region,PF01056);Myc_N(Myc amino-terminal region,PF01056);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYCLP1","P12525","Putative myc-like protein MYCLP1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Myc_N(Myc amino-terminal region,PF01056);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYCN","P04198","N-myc proto-oncogene protein","null","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.57","Myc_N(Myc amino-terminal region,PF01056);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYF5","P13349","Myogenic factor 5","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Basic(Myogenic Basic domain,PF01586);HLH(Helix-loop-helix DNA-binding domain,PF00010);Myf5(Myogenic determination factor 5,PF12232)"
"undefinedMYF6","P23409","Myogenic factor 6","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Basic(Myogenic Basic domain,PF01586);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMYNN","Q9NPC7","Myoneurin","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","0.151","BTB(BTB/POZ domain,PF00651);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_6(C2H2-type zinc finger,PF13912)"
"undefinedMYOD1","P15172","Myoblast determination protein 1","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Euchromatin-associated","Non-Housekeeping DNA-binding TFs","null","null","Basic(Myogenic Basic domain,PF01586);HLH(Helix-loop-helix DNA-binding domain,PF00010);Myf5(Myogenic determination factor 5,PF12232)"
"undefinedMYOG","P15173","Myogenin","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Basic(Myogenic Basic domain,PF01586);HLH(Helix-loop-helix DNA-binding domain,PF00010)"
